,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
Baseline,122.0,237.0,199.0,192.0,0.4786666666666667,0.3800623052959501,0.3885350318471338,0.384251968503937,0.466056506749255
KNN,220.0,384.0,52.0,94.0,0.8053333333333333,0.8088235294117647,0.7006369426751592,0.7508532423208191,0.7906854438146441
LR,263.0,398.0,38.0,51.0,0.8813333333333333,0.8737541528239202,0.8375796178343949,0.8552845528455285,0.8752118272658214
C-Support SVC,96.0,436.0,0.0,218.0,0.7093333333333334,1.0,0.3057324840764331,0.4682926829268293,0.6528662420382165
Nu-Support SVC,252.0,408.0,28.0,62.0,0.88,0.9,0.8025477707006371,0.8484848484848485,0.8691637936071993
Linear-Support SVC,292.0,326.0,110.0,22.0,0.8240000000000001,0.7263681592039801,0.929936305732484,0.8156424581005587,0.8388213638754164
DT,266.0,368.0,68.0,48.0,0.8453333333333334,0.7964071856287425,0.8471337579617835,0.8209876543209876,0.8455852276047451
AdaBoost,275.0,379.0,57.0,39.0,0.872,0.8283132530120482,0.8757961783439491,0.8513931888544892,0.8725311166949102
BaggingClassifier,278.0,390.0,46.0,36.0,0.8906666666666667,0.8580246913580247,0.8853503184713376,0.8714733542319749,0.8899228656576872
RandomForest,281.0,393.0,43.0,33.0,0.8986666666666666,0.8672839506172839,0.8949044585987261,0.8808777429467085,0.8981403026938585
Gaussian NB,271.0,412.0,24.0,43.0,0.9106666666666666,0.91864406779661,0.8630573248407644,0.8899835796387521,0.9040057266405656
Bernoulli NB,0.0,436.0,0.0,314.0,0.5813333333333334,0.0,0.0,0.0,0.5
Multinomial NB,203.0,342.0,94.0,111.0,0.7266666666666667,0.6835016835016835,0.6464968152866242,0.6644844517184942,0.7154502425056973
Complement NB,204.0,342.0,94.0,110.0,0.728,0.6845637583892618,0.6496815286624203,0.6666666666666667,0.7170425991935955
MLP,263.0,373.0,63.0,51.0,0.848,0.8067484662576687,0.8375796178343949,0.821875,0.8465421024951791
KNNTuned,224.0,394.0,42.0,90.0,0.8240000000000001,0.8421052631578947,0.7133757961783439,0.7724137931034484,0.8085227604744931
LRTuned,265.0,397.0,39.0,49.0,0.8826666666666667,0.8717105263157895,0.8439490445859873,0.8576051779935274,0.8772497516507919
DTTuned,259.0,373.0,63.0,55.0,0.8426666666666667,0.8043478260869565,0.8248407643312102,0.8144654088050314,0.8401726757435868
C-Support SVC Tuned,0.0,436.0,0.0,314.0,0.5813333333333334,0.0,0.0,0.0,0.5
Nu-Support SVC Tuned,252.0,408.0,28.0,62.0,0.88,0.9,0.8025477707006371,0.8484848484848485,0.8691637936071993
Linear-Support SVC Tuned,267.0,362.0,74.0,47.0,0.8386666666666667,0.7829912023460409,0.8503184713375797,0.8152671755725192,0.8402968503476889
TunedAdaBoost,275.0,379.0,57.0,39.0,0.872,0.8283132530120482,0.8757961783439491,0.8513931888544892,0.8725311166949102
RandomForestTuned,268.0,404.0,32.0,46.0,0.8959999999999999,0.8933333333333333,0.8535031847133758,0.8729641693811074,0.8900543446502659
MLPTuned,255.0,374.0,62.0,59.0,0.8386666666666667,0.804416403785489,0.8121019108280255,0.8082408874801902,0.83495003798282
