,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
KNN,215.0,391.0,45.0,99.0,0.8079999999999999,0.8269230769230769,0.6847133757961783,0.7491289198606271,0.7907511833109331
LR,274.0,400.0,36.0,40.0,0.8986666666666666,0.8838709677419355,0.8726114649681529,0.8782051282051283,0.8950213288143517
C-Support SVC,144.0,435.0,1.0,170.0,0.772,0.993103448275862,0.4585987261146497,0.6274509803921569,0.7281525740664991
Nu-Support SVC,256.0,408.0,28.0,58.0,0.8853333333333333,0.9014084507042254,0.8152866242038217,0.8561872909698998,0.8755332203587917
Linear-Support SVC,276.0,332.0,104.0,38.0,0.8106666666666666,0.7263157894736842,0.8789808917197452,0.7953890489913545,0.8202243908140011
DT,198.0,330.0,106.0,116.0,0.7040000000000001,0.6513157894736842,0.6305732484076433,0.6407766990291262,0.6937269911762989
AdaBoost,255.0,372.0,64.0,59.0,0.836,0.7993730407523509,0.8121019108280255,0.8056872037914692,0.8326564600011687
BaggingClassifier,238.0,344.0,92.0,76.0,0.7759999999999999,0.7212121212121212,0.7579617834394905,0.7391304347826086,0.7734763045637819
RandomForest,242.0,371.0,65.0,72.0,0.8173333333333334,0.7882736156351792,0.7707006369426752,0.7793880837359098,0.8108090340676679
Gaussian NB,214.0,394.0,42.0,100.0,0.8106666666666666,0.8359375,0.6815286624203821,0.7508771929824561,0.7925991935955123
Bernoulli NB,0.0,436.0,0.0,314.0,0.5813333333333334,0.0,0.0,0.0,0.5
Multinomial NB,271.0,371.0,65.0,43.0,0.856,0.8065476190476191,0.8630573248407644,0.8338461538461538,0.8569873780167124
Complement NB,271.0,371.0,65.0,43.0,0.856,0.8065476190476191,0.8630573248407644,0.8338461538461538,0.8569873780167124
MLP,222.0,375.0,61.0,92.0,0.7959999999999999,0.7844522968197879,0.7070063694267515,0.7437185929648241,0.7835490562730091
Baseline,146.0,272.0,164.0,168.0,0.5573333333333333,0.4709677419354839,0.4649681528662421,0.4679487179487179,0.5444106819377081
KNNTuned,229.0,402.0,34.0,85.0,0.8413333333333334,0.8707224334600758,0.7292993630573248,0.7937608318890814,0.8256588558405891
LRTuned,278.0,400.0,36.0,36.0,0.904,0.8853503184713376,0.8853503184713376,0.8853503184713376,0.9013907555659442
DTTuned,219.0,336.0,100.0,95.0,0.74,0.6865203761755486,0.6974522292993629,0.6919431279620853,0.7340472155671127
C-Support SVC Tuned,0.0,436.0,0.0,314.0,0.5813333333333334,0.0,0.0,0.0,0.5
Nu-Support SVC Tuned,256.0,408.0,28.0,58.0,0.8853333333333333,0.9014084507042254,0.8152866242038217,0.8561872909698998,0.8755332203587917
Linear-Support SVC Tuned,248.0,379.0,57.0,66.0,0.836,0.8131147540983606,0.7898089171974523,0.8012924071082392,0.829537486121662
TunedAdaBoost,255.0,372.0,64.0,59.0,0.836,0.7993730407523509,0.8121019108280255,0.8056872037914692,0.8326564600011687
RandomForestTuned,212.0,369.0,67.0,102.0,0.7746666666666666,0.7598566308243727,0.6751592356687898,0.7150084317032039,0.7607447554490738
MLPTuned,258.0,369.0,67.0,56.0,0.836,0.7938461538461539,0.821656050955414,0.8075117370892019,0.8339931630923859
